Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas224      Pavarde224     2     	10    	3     	7     	4     	5     	3     	6     	8     	1     	1     	9     	7     	4     	1     	4     	
Vardas225      Pavarde225     1     	5     	9     	7     	10    	10    	4     	6     	1     	4     	9     	4     	1     	5     	4     	3     	
Vardas226      Pavarde226     8     	8     	8     	7     	1     	5     	3     	8     	10    	10    	1     	6     	7     	2     	8     	10    	
Vardas227      Pavarde227     2     	4     	3     	7     	3     	10    	4     	3     	5     	10    	5     	10    	5     	10    	4     	7     	
Vardas228      Pavarde228     6     	10    	10    	2     	7     	5     	4     	1     	9     	8     	2     	6     	2     	7     	6     	1     	
Vardas229      Pavarde229     6     	6     	8     	5     	8     	9     	5     	10    	10    	9     	7     	3     	4     	8     	2     	1     	
Vardas230      Pavarde230     9     	1     	7     	7     	9     	10    	6     	4     	6     	4     	1     	9     	6     	9     	4     	3     	
Vardas231      Pavarde231     1     	4     	10    	1     	1     	5     	8     	1     	4     	1     	8     	7     	5     	8     	8     	7     	
Vardas232      Pavarde232     9     	2     	2     	5     	5     	8     	4     	9     	8     	9     	8     	5     	2     	10    	9     	2     	
Vardas233      Pavarde233     10    	2     	5     	9     	1     	4     	4     	4     	10    	6     	1     	5     	8     	3     	6     	6     	
Vardas234      Pavarde234     1     	7     	10    	10    	5     	1     	9     	2     	5     	4     	1     	6     	4     	6     	6     	5     	
Vardas235      Pavarde235     3     	10    	9     	5     	1     	8     	2     	3     	5     	1     	3     	9     	9     	10    	10    	4     	
Vardas236      Pavarde236     4     	2     	1     	6     	8     	6     	2     	5     	1     	10    	8     	8     	7     	3     	2     	4     	
Vardas237      Pavarde237     10    	1     	1     	3     	10    	10    	1     	2     	2     	1     	4     	3     	6     	3     	10    	4     	
Vardas238      Pavarde238     3     	5     	3     	5     	1     	7     	9     	5     	3     	6     	3     	9     	4     	8     	8     	8     	
Vardas239      Pavarde239     10    	8     	7     	8     	6     	10    	6     	1     	10    	1     	9     	9     	9     	4     	8     	9     	
Vardas240      Pavarde240     6     	2     	8     	2     	3     	1     	9     	6     	8     	5     	6     	2     	6     	3     	1     	7     	
Vardas241      Pavarde241     6     	7     	1     	8     	7     	3     	9     	7     	3     	2     	10    	5     	3     	8     	1     	3     	
Vardas242      Pavarde242     1     	10    	6     	5     	6     	2     	9     	9     	1     	10    	7     	1     	8     	3     	2     	8     	
Vardas243      Pavarde243     1     	2     	8     	10    	5     	4     	4     	3     	5     	2     	3     	9     	7     	10    	7     	3     	
Vardas244      Pavarde244     4     	3     	8     	9     	2     	6     	8     	7     	1     	5     	9     	9     	5     	2     	1     	5     	
Vardas245      Pavarde245     1     	5     	3     	10    	1     	8     	4     	1     	8     	1     	4     	10    	10    	7     	9     	10    	
Vardas246      Pavarde246     9     	9     	7     	4     	10    	6     	1     	4     	3     	9     	7     	1     	7     	9     	6     	8     	
Vardas247      Pavarde247     6     	8     	10    	9     	2     	3     	5     	10    	9     	4     	7     	1     	8     	6     	5     	3     	
Vardas248      Pavarde248     4     	4     	3     	7     	5     	9     	5     	7     	3     	5     	7     	8     	1     	3     	3     	6     	
Vardas249      Pavarde249     2     	9     	5     	7     	1     	10    	1     	10    	5     	8     	6     	10    	7     	2     	5     	1     	
Vardas250      Pavarde250     9     	2     	10    	8     	3     	1     	2     	7     	4     	7     	8     	2     	5     	8     	8     	5     	
Vardas251      Pavarde251     7     	5     	9     	4     	4     	1     	6     	3     	4     	6     	9     	2     	9     	7     	8     	1     	
Vardas252      Pavarde252     1     	6     	9     	3     	7     	3     	4     	9     	2     	4     	3     	8     	3     	3     	8     	1     	
Vardas253      Pavarde253     8     	8     	9     	1     	9     	7     	8     	3     	9     	4     	8     	8     	6     	7     	9     	9     	
Vardas254      Pavarde254     5     	4     	5     	3     	5     	6     	6     	6     	4     	6     	7     	10    	6     	7     	6     	6     	
Vardas255      Pavarde255     3     	3     	10    	2     	3     	3     	10    	9     	9     	8     	6     	8     	7     	8     	2     	8     	
Vardas256      Pavarde256     1     	9     	4     	7     	5     	9     	5     	7     	7     	2     	2     	6     	3     	3     	2     	5     	
Vardas257      Pavarde257     8     	5     	8     	10    	8     	4     	3     	3     	3     	10    	3     	9     	2     	4     	5     	1     	
Vardas258      Pavarde258     1     	10    	7     	2     	2     	2     	6     	3     	5     	3     	2     	3     	1     	4     	6     	8     	
Vardas259      Pavarde259     5     	10    	4     	6     	2     	7     	2     	7     	6     	6     	2     	2     	9     	2     	5     	7     	
Vardas260      Pavarde260     4     	8     	3     	7     	7     	8     	5     	6     	5     	1     	1     	8     	8     	5     	1     	6     	
Vardas261      Pavarde261     6     	9     	7     	10    	2     	3     	7     	7     	6     	7     	4     	9     	7     	2     	4     	9     	
Vardas262      Pavarde262     7     	5     	8     	9     	7     	3     	10    	10    	7     	2     	5     	3     	8     	9     	4     	4     	
Vardas263      Pavarde263     9     	6     	6     	4     	2     	8     	9     	8     	7     	9     	5     	8     	6     	6     	10    	10    	
Vardas264      Pavarde264     6     	9     	3     	1     	6     	2     	2     	3     	9     	5     	9     	8     	8     	1     	1     	6     	
Vardas265      Pavarde265     6     	7     	3     	6     	5     	2     	6     	5     	7     	3     	1     	3     	1     	8     	1     	9     	
Vardas266      Pavarde266     2     	3     	4     	4     	7     	7     	7     	3     	5     	6     	10    	2     	3     	9     	8     	5     	
Vardas267      Pavarde267     2     	8     	8     	5     	10    	10    	10    	5     	2     	8     	8     	4     	7     	9     	1     	9     	
Vardas268      Pavarde268     9     	9     	5     	4     	3     	9     	9     	9     	8     	8     	8     	6     	7     	7     	6     	5     	
Vardas269      Pavarde269     9     	7     	4     	10    	8     	3     	6     	1     	2     	7     	6     	3     	3     	5     	8     	2     	
Vardas270      Pavarde270     7     	6     	2     	5     	2     	9     	8     	7     	6     	8     	5     	7     	8     	10    	6     	1     	
Vardas271      Pavarde271     2     	4     	5     	4     	4     	4     	10    	8     	9     	2     	3     	3     	7     	5     	5     	10    	
Vardas272      Pavarde272     3     	4     	6     	2     	2     	3     	2     	8     	6     	9     	1     	2     	10    	10    	7     	6     	
Vardas273      Pavarde273     5     	5     	2     	5     	8     	10    	10    	8     	7     	9     	1     	7     	5     	2     	1     	3     	
Vardas274      Pavarde274     5     	9     	7     	7     	4     	1     	9     	4     	7     	7     	5     	8     	3     	4     	3     	9     	
Vardas275      Pavarde275     5     	5     	10    	2     	3     	2     	9     	2     	10    	9     	9     	1     	7     	4     	8     	3     	
Vardas276      Pavarde276     8     	5     	4     	5     	4     	10    	5     	6     	9     	6     	1     	5     	10    	1     	5     	3     	
Vardas277      Pavarde277     2     	4     	3     	4     	9     	3     	8     	1     	7     	7     	4     	6     	10    	5     	9     	7     	
Vardas278      Pavarde278     10    	4     	3     	1     	10    	5     	9     	5     	4     	5     	3     	8     	4     	3     	2     	10    	
Vardas279      Pavarde279     3     	4     	3     	2     	3     	5     	5     	1     	3     	6     	2     	6     	9     	9     	7     	9     	
Vardas280      Pavarde280     2     	8     	6     	2     	10    	1     	4     	5     	6     	8     	6     	4     	4     	4     	6     	2     	
Vardas281      Pavarde281     7     	6     	10    	9     	3     	7     	7     	7     	10    	7     	4     	10    	3     	8     	4     	8     	
Vardas282      Pavarde282     9     	8     	1     	3     	3     	2     	2     	4     	7     	3     	7     	8     	4     	3     	10    	4     	
Vardas283      Pavarde283     2     	3     	7     	3     	4     	9     	4     	3     	4     	4     	3     	5     	2     	2     	4     	7     	
Vardas284      Pavarde284     2     	6     	9     	4     	10    	4     	7     	2     	4     	10    	7     	9     	8     	4     	10    	10    	
Vardas285      Pavarde285     6     	7     	8     	5     	10    	4     	4     	9     	7     	10    	10    	2     	2     	4     	9     	10    	
Vardas286      Pavarde286     10    	10    	6     	5     	2     	3     	10    	10    	3     	9     	10    	1     	2     	7     	1     	10    	
Vardas287      Pavarde287     6     	1     	3     	7     	3     	9     	2     	2     	2     	10    	9     	9     	7     	3     	4     	4     	
Vardas288      Pavarde288     5     	3     	10    	1     	7     	9     	9     	9     	6     	1     	5     	2     	10    	2     	5     	5     	
Vardas289      Pavarde289     3     	7     	6     	9     	9     	1     	4     	10    	10    	3     	4     	5     	9     	3     	7     	1     	
Vardas290      Pavarde290     4     	4     	4     	2     	6     	9     	7     	9     	9     	2     	7     	10    	6     	3     	5     	10    	
Vardas291      Pavarde291     1     	2     	7     	4     	9     	9     	7     	1     	2     	5     	9     	8     	5     	3     	9     	5     	
Vardas292      Pavarde292     7     	9     	3     	2     	10    	5     	4     	4     	5     	6     	10    	3     	4     	7     	10    	5     	
Vardas293      Pavarde293     6     	9     	7     	10    	6     	2     	3     	9     	2     	10    	7     	10    	2     	2     	2     	2     	
Vardas294      Pavarde294     4     	4     	2     	1     	6     	10    	7     	10    	5     	5     	9     	1     	5     	9     	5     	10    	
Vardas295      Pavarde295     1     	10    	2     	1     	2     	10    	3     	5     	8     	8     	3     	2     	2     	9     	7     	6     	
Vardas296      Pavarde296     8     	6     	1     	1     	1     	3     	7     	2     	6     	7     	9     	1     	8     	4     	5     	8     	
Vardas297      Pavarde297     4     	7     	4     	6     	8     	6     	2     	4     	1     	7     	1     	6     	4     	8     	3     	7     	
Vardas298      Pavarde298     5     	9     	10    	1     	6     	1     	5     	2     	7     	7     	8     	3     	7     	6     	7     	8     	
Vardas299      Pavarde299     5     	9     	2     	4     	9     	8     	1     	10    	5     	5     	1     	6     	7     	8     	2     	3     	
Vardas300      Pavarde300     2     	5     	2     	3     	1     	3     	5     	9     	2     	10    	3     	9     	9     	3     	10    	4     	
Vardas301      Pavarde301     10    	7     	4     	1     	1     	10    	9     	3     	6     	10    	2     	10    	3     	7     	6     	8     	
Vardas302      Pavarde302     9     	2     	2     	7     	8     	9     	3     	9     	6     	10    	8     	10    	9     	1     	5     	5     	
Vardas303      Pavarde303     10    	5     	2     	1     	8     	8     	1     	4     	9     	3     	9     	2     	5     	8     	1     	4     	
Vardas304      Pavarde304     10    	1     	8     	2     	5     	10    	4     	9     	8     	1     	2     	6     	3     	8     	3     	2     	
Vardas305      Pavarde305     10    	5     	7     	2     	3     	6     	7     	6     	5     	9     	5     	2     	3     	7     	1     	4     	
Vardas306      Pavarde306     10    	4     	8     	9     	10    	8     	9     	7     	7     	4     	9     	4     	9     	8     	9     	5     	
Vardas307      Pavarde307     9     	9     	3     	8     	5     	6     	8     	6     	7     	2     	7     	3     	6     	4     	8     	9     	
Vardas308      Pavarde308     2     	6     	5     	9     	2     	8     	1     	8     	7     	6     	6     	6     	7     	1     	8     	5     	
Vardas309      Pavarde309     10    	10    	5     	4     	9     	1     	8     	4     	4     	9     	5     	8     	5     	4     	9     	7     	
Vardas310      Pavarde310     5     	8     	10    	1     	4     	4     	8     	3     	8     	9     	5     	6     	7     	2     	4     	9     	
Vardas311      Pavarde311     10    	7     	4     	6     	6     	10    	7     	8     	10    	4     	1     	5     	4     	8     	10    	8     	
Vardas312      Pavarde312     6     	8     	9     	3     	3     	10    	3     	4     	8     	4     	10    	7     	5     	2     	6     	5     	
Vardas313      Pavarde313     10    	1     	2     	1     	7     	9     	2     	5     	5     	3     	1     	5     	2     	1     	6     	3     	
Vardas314      Pavarde314     2     	4     	6     	5     	3     	6     	2     	7     	7     	6     	5     	1     	1     	1     	9     	8     	
Vardas315      Pavarde315     4     	8     	6     	9     	7     	9     	4     	5     	10    	6     	5     	5     	3     	1     	6     	6     	
Vardas316      Pavarde316     10    	7     	6     	5     	9     	4     	3     	9     	1     	4     	2     	2     	2     	4     	8     	7     	
Vardas317      Pavarde317     1     	5     	8     	3     	5     	2     	3     	8     	6     	4     	6     	6     	4     	4     	3     	7     	
Vardas318      Pavarde318     2     	4     	8     	7     	10    	3     	6     	3     	3     	6     	9     	7     	10    	8     	10    	6     	
Vardas319      Pavarde319     4     	2     	7     	7     	5     	6     	7     	2     	8     	3     	4     	3     	5     	7     	9     	2     	
Vardas320      Pavarde320     4     	1     	8     	7     	6     	9     	4     	1     	7     	5     	3     	7     	4     	6     	8     	4     	
Vardas321      Pavarde321     7     	8     	1     	9     	1     	1     	2     	5     	9     	8     	9     	2     	5     	3     	7     	3     	
Vardas322      Pavarde322     10    	3     	8     	5     	3     	6     	7     	1     	2     	1     	4     	4     	4     	2     	3     	9     	
Vardas323      Pavarde323     4     	4     	10    	3     	5     	5     	3     	6     	4     	7     	7     	10    	1     	1     	4     	4     	
Vardas324      Pavarde324     5     	8     	2     	7     	3     	7     	7     	2     	6     	10    	9     	6     	4     	3     	3     	8     	
Vardas325      Pavarde325     8     	10    	1     	4     	4     	8     	4     	7     	3     	4     	2     	1     	5     	10    	5     	7     	
Vardas326      Pavarde326     1     	6     	8     	7     	1     	7     	5     	9     	6     	10    	1     	3     	8     	3     	2     	7     	
Vardas327      Pavarde327     3     	10    	7     	9     	2     	1     	10    	3     	6     	7     	3     	5     	5     	10    	9     	5     	
Vardas328      Pavarde328     1     	6     	2     	2     	9     	6     	3     	1     	6     	2     	6     	9     	3     	10    	1     	3     	
Vardas329      Pavarde329     7     	10    	3     	10    	4     	10    	6     	4     	3     	4     	10    	10    	6     	3     	3     	7     	
Vardas330      Pavarde330     7     	5     	6     	6     	2     	9     	6     	9     	1     	4     	5     	2     	8     	2     	2     	10    	
Vardas331      Pavarde331     9     	8     	3     	10    	10    	7     	5     	4     	1     	1     	1     	5     	5     	6     	3     	5     	
Vardas332      Pavarde332     3     	7     	6     	4     	1     	6     	2     	5     	4     	1     	6     	3     	9     	9     	6     	2     	
Vardas333      Pavarde333     4     	9     	8     	6     	5     	5     	1     	10    	10    	2     	3     	10    	6     	7     	5     	9     	
Vardas334      Pavarde334     9     	6     	3     	9     	2     	6     	9     	5     	3     	7     	3     	3     	8     	1     	5     	10    	
Vardas335      Pavarde335     8     	7     	7     	6     	10    	4     	5     	5     	3     	8     	6     	1     	1     	1     	3     	6     	
Vardas336      Pavarde336     7     	1     	5     	3     	4     	7     	2     	3     	5     	4     	4     	8     	4     	5     	4     	1     	
Vardas337      Pavarde337     10    	7     	9     	2     	5     	9     	7     	7     	7     	5     	7     	10    	9     	4     	5     	8     	
Vardas338      Pavarde338     1     	9     	7     	5     	2     	7     	2     	4     	1     	2     	10    	3     	10    	2     	9     	10    	
Vardas339      Pavarde339     9     	7     	2     	4     	9     	7     	3     	4     	8     	3     	6     	9     	2     	5     	10    	3     	
Vardas340      Pavarde340     8     	1     	6     	1     	4     	4     	9     	3     	7     	5     	7     	1     	3     	1     	2     	9     	
Vardas341      Pavarde341     7     	10    	4     	10    	1     	3     	8     	10    	2     	6     	10    	8     	3     	5     	1     	9     	
Vardas342      Pavarde342     1     	4     	8     	10    	9     	9     	10    	2     	9     	5     	3     	10    	5     	1     	1     	1     	
Vardas343      Pavarde343     7     	9     	4     	5     	10    	4     	5     	10    	6     	6     	9     	9     	2     	3     	2     	6     	
Vardas344      Pavarde344     9     	9     	3     	7     	10    	10    	2     	9     	8     	7     	2     	5     	3     	4     	8     	7     	
Vardas345      Pavarde345     8     	3     	2     	6     	7     	7     	5     	10    	8     	9     	4     	2     	7     	8     	3     	3     	
Vardas346      Pavarde346     2     	9     	4     	10    	2     	9     	9     	9     	1     	6     	4     	5     	7     	5     	4     	4     	
Vardas347      Pavarde347     10    	2     	2     	9     	5     	7     	8     	6     	3     	7     	5     	10    	9     	10    	1     	3     	
Vardas348      Pavarde348     9     	7     	2     	10    	1     	5     	10    	8     	2     	7     	1     	4     	6     	9     	5     	10    	
Vardas349      Pavarde349     4     	2     	2     	3     	7     	8     	4     	10    	6     	9     	4     	1     	7     	2     	10    	5     	
Vardas350      Pavarde350     3     	1     	8     	7     	5     	1     	2     	10    	1     	9     	8     	4     	4     	7     	1     	2     	
Vardas351      Pavarde351     9     	7     	10    	2     	8     	7     	2     	10    	2     	5     	7     	9     	8     	3     	2     	6     	
Vardas352      Pavarde352     8     	3     	8     	8     	4     	7     	4     	8     	6     	3     	1     	9     	10    	1     	9     	7     	
Vardas353      Pavarde353     2     	2     	6     	4     	5     	2     	6     	1     	4     	2     	3     	8     	8     	3     	4     	10    	
Vardas354      Pavarde354     1     	4     	5     	6     	4     	8     	8     	2     	4     	9     	3     	8     	4     	1     	5     	9     	
Vardas355      Pavarde355     1     	5     	2     	2     	7     	6     	10    	4     	2     	1     	2     	8     	10    	7     	1     	4     	
Vardas356      Pavarde356     1     	2     	7     	1     	7     	1     	10    	1     	5     	2     	7     	9     	10    	9     	1     	6     	
Vardas357      Pavarde357     3     	5     	9     	4     	8     	4     	1     	2     	4     	3     	2     	8     	1     	8     	6     	6     	
Vardas358      Pavarde358     7     	8     	1     	6     	7     	8     	10    	8     	10    	9     	4     	10    	8     	6     	10    	1     	
Vardas359      Pavarde359     9     	5     	3     	3     	2     	2     	1     	7     	6     	10    	5     	5     	6     	4     	5     	9     	
Vardas360      Pavarde360     5     	6     	6     	10    	3     	5     	4     	7     	2     	3     	2     	6     	4     	9     	6     	10    	
Vardas361      Pavarde361     1     	2     	10    	6     	9     	4     	7     	9     	8     	5     	3     	8     	4     	6     	1     	7     	
Vardas362      Pavarde362     4     	8     	8     	9     	1     	5     	6     	8     	8     	6     	9     	1     	4     	2     	9     	6     	
Vardas363      Pavarde363     10    	1     	2     	5     	3     	6     	6     	7     	4     	9     	8     	3     	7     	7     	10    	4     	
Vardas364      Pavarde364     9     	3     	5     	1     	1     	4     	3     	5     	7     	2     	2     	7     	7     	7     	5     	2     	
Vardas365      Pavarde365     1     	6     	9     	10    	8     	2     	6     	5     	10    	6     	6     	3     	6     	1     	1     	8     	
Vardas366      Pavarde366     10    	7     	4     	7     	9     	3     	3     	7     	9     	1     	3     	5     	3     	2     	5     	6     	
Vardas367      Pavarde367     1     	1     	10    	7     	9     	10    	6     	3     	2     	3     	2     	4     	3     	5     	6     	10    	
Vardas368      Pavarde368     1     	1     	10    	10    	9     	5     	2     	8     	2     	8     	3     	2     	4     	9     	5     	6     	
Vardas369      Pavarde369     6     	3     	7     	7     	4     	9     	10    	10    	9     	3     	2     	4     	1     	5     	10    	9     	
Vardas370      Pavarde370     2     	3     	4     	3     	3     	2     	6     	7     	1     	8     	5     	5     	3     	9     	9     	8     	
Vardas371      Pavarde371     3     	5     	2     	5     	6     	9     	10    	3     	5     	3     	6     	6     	3     	8     	3     	8     	
Vardas372      Pavarde372     5     	8     	2     	4     	10    	9     	8     	6     	9     	9     	9     	5     	9     	10    	4     	5     	
Vardas373      Pavarde373     7     	7     	3     	1     	2     	2     	1     	1     	1     	6     	2     	10    	4     	9     	3     	9     	
Vardas374      Pavarde374     8     	7     	10    	8     	7     	6     	10    	10    	1     	8     	10    	10    	7     	8     	7     	7     	
Vardas375      Pavarde375     4     	7     	5     	3     	5     	1     	10    	5     	8     	4     	8     	6     	3     	7     	1     	4     	
Vardas376      Pavarde376     3     	5     	4     	2     	3     	5     	9     	10    	8     	9     	6     	6     	3     	1     	1     	7     	
Vardas377      Pavarde377     1     	7     	4     	10    	2     	7     	1     	7     	6     	8     	5     	10    	5     	10    	8     	8     	
Vardas378      Pavarde378     6     	2     	5     	10    	8     	8     	7     	8     	8     	7     	8     	3     	3     	6     	6     	8     	
Vardas379      Pavarde379     4     	9     	8     	6     	6     	9     	4     	1     	7     	7     	7     	4     	3     	5     	9     	10    	
Vardas380      Pavarde380     2     	6     	4     	10    	2     	1     	3     	7     	7     	5     	5     	9     	7     	7     	4     	10    	
Vardas381      Pavarde381     3     	5     	9     	6     	9     	6     	3     	5     	7     	7     	4     	2     	10    	6     	5     	5     	
Vardas382      Pavarde382     2     	8     	7     	7     	2     	8     	5     	4     	5     	6     	7     	6     	3     	6     	5     	5     	
Vardas383      Pavarde383     10    	3     	9     	8     	7     	6     	2     	9     	2     	9     	10    	8     	9     	5     	2     	3     	
Vardas384      Pavarde384     10    	5     	7     	6     	5     	10    	6     	6     	1     	7     	6     	7     	6     	7     	7     	4     	
Vardas385      Pavarde385     4     	4     	7     	6     	6     	7     	7     	3     	6     	4     	7     	4     	7     	3     	2     	1     	
Vardas386      Pavarde386     4     	5     	9     	3     	6     	2     	7     	2     	8     	9     	7     	6     	8     	3     	9     	4     	
Vardas387      Pavarde387     8     	6     	2     	8     	8     	8     	9     	2     	1     	2     	5     	2     	3     	9     	5     	2     	
Vardas388      Pavarde388     8     	4     	2     	3     	10    	3     	9     	6     	5     	4     	6     	7     	9     	7     	6     	6     	
Vardas389      Pavarde389     8     	3     	7     	8     	7     	9     	5     	1     	4     	8     	6     	9     	10    	1     	1     	3     	
Vardas390      Pavarde390     9     	5     	5     	4     	5     	7     	4     	1     	4     	8     	1     	5     	9     	10    	2     	4     	
Vardas391      Pavarde391     4     	3     	4     	6     	10    	5     	8     	2     	9     	5     	3     	6     	10    	9     	4     	10    	
Vardas392      Pavarde392     4     	6     	7     	9     	3     	3     	1     	9     	8     	2     	8     	4     	10    	3     	5     	1     	
Vardas393      Pavarde393     5     	9     	3     	10    	8     	3     	7     	9     	2     	1     	1     	1     	8     	10    	10    	5     	
Vardas394      Pavarde394     10    	10    	9     	8     	10    	3     	5     	7     	3     	4     	7     	3     	6     	7     	7     	4     	
Vardas395      Pavarde395     3     	8     	5     	8     	7     	9     	4     	6     	1     	1     	4     	4     	2     	1     	2     	7     	
Vardas396      Pavarde396     10    	2     	3     	5     	4     	8     	3     	7     	4     	8     	2     	1     	2     	10    	4     	5     	
Vardas397      Pavarde397     1     	5     	5     	4     	9     	9     	8     	10    	6     	2     	9     	7     	4     	6     	6     	8     	
Vardas398      Pavarde398     1     	1     	1     	10    	4     	6     	4     	8     	2     	4     	7     	3     	3     	4     	8     	5     	
Vardas399      Pavarde399     5     	1     	10    	2     	6     	9     	6     	7     	1     	9     	2     	9     	8     	3     	9     	10    	
Vardas400      Pavarde400     5     	3     	1     	5     	3     	10    	3     	6     	7     	1     	5     	1     	2     	5     	4     	5     	
Vardas401      Pavarde401     8     	8     	7     	3     	8     	9     	2     	10    	6     	7     	2     	9     	3     	5     	6     	1     	
Vardas402      Pavarde402     1     	5     	9     	5     	4     	4     	1     	1     	5     	3     	3     	3     	1     	5     	5     	4     	
Vardas403      Pavarde403     1     	5     	1     	6     	7     	8     	8     	6     	2     	9     	7     	8     	9     	4     	2     	5     	
Vardas404      Pavarde404     6     	4     	4     	7     	4     	5     	1     	1     	1     	6     	6     	3     	4     	6     	5     	9     	
Vardas405      Pavarde405     1     	1     	3     	6     	6     	4     	3     	3     	10    	6     	4     	7     	10    	3     	6     	8     	
Vardas406      Pavarde406     6     	9     	6     	6     	7     	10    	7     	1     	2     	5     	1     	2     	5     	10    	1     	3     	
Vardas407      Pavarde407     4     	2     	3     	7     	6     	6     	7     	4     	2     	5     	10    	5     	5     	8     	2     	9     	
Vardas408      Pavarde408     6     	2     	9     	3     	1     	8     	2     	7     	6     	4     	8     	4     	1     	10    	7     	7     	
Vardas409      Pavarde409     8     	1     	2     	10    	9     	2     	3     	8     	10    	5     	5     	5     	8     	8     	10    	3     	
Vardas410      Pavarde410     3     	2     	3     	10    	2     	9     	7     	7     	2     	5     	5     	9     	1     	1     	10    	6     	
Vardas411      Pavarde411     1     	1     	1     	8     	10    	2     	1     	8     	2     	10    	3     	8     	3     	3     	6     	10    	
Vardas412      Pavarde412     6     	7     	7     	7     	4     	10    	3     	8     	5     	8     	3     	2     	2     	1     	10    	2     	
Vardas413      Pavarde413     1     	8     	5     	8     	4     	10    	2     	1     	3     	3     	1     	2     	10    	2     	1     	8     	
Vardas414      Pavarde414     7     	3     	9     	6     	2     	6     	1     	1     	9     	4     	1     	8     	10    	5     	4     	2     	
Vardas415      Pavarde415     6     	7     	9     	7     	8     	8     	6     	8     	6     	4     	7     	8     	8     	7     	9     	1     	
Vardas416      Pavarde416     1     	10    	8     	3     	9     	4     	4     	1     	7     	9     	5     	8     	4     	4     	6     	3     	
Vardas417      Pavarde417     6     	1     	10    	8     	3     	7     	7     	5     	9     	2     	5     	9     	4     	10    	9     	6     	
Vardas418      Pavarde418     7     	4     	6     	5     	7     	4     	4     	2     	8     	1     	4     	6     	3     	8     	2     	2     	
Vardas419      Pavarde419     2     	7     	1     	8     	2     	3     	10    	7     	7     	6     	9     	7     	4     	5     	6     	4     	
Vardas420      Pavarde420     3     	10    	2     	4     	1     	9     	1     	8     	10    	9     	6     	7     	4     	10    	1     	9     	
Vardas421      Pavarde421     5     	10    	6     	5     	10    	3     	10    	2     	6     	3     	6     	6     	8     	10    	9     	1     	
Vardas422      Pavarde422     10    	3     	4     	9     	9     	9     	8     	9     	4     	6     	3     	10    	5     	9     	5     	3     	
Vardas423      Pavarde423     3     	8     	2     	3     	3     	7     	3     	7     	9     	5     	10    	7     	10    	4     	1     	6     	
Vardas424      Pavarde424     8     	5     	1     	2     	2     	5     	6     	9     	8     	9     	2     	8     	2     	2     	6     	9     	
Vardas425      Pavarde425     2     	8     	5     	5     	4     	5     	10    	2     	3     	3     	4     	2     	6     	9     	5     	10    	
Vardas426      Pavarde426     5     	5     	9     	4     	2     	6     	6     	1     	9     	2     	10    	3     	9     	2     	1     	3     	
Vardas427      Pavarde427     7     	8     	2     	8     	10    	6     	6     	5     	1     	4     	3     	2     	8     	10    	2     	4     	
Vardas428      Pavarde428     8     	5     	7     	5     	6     	9     	5     	1     	2     	1     	4     	9     	9     	8     	5     	3     	
Vardas429      Pavarde429     1     	2     	6     	4     	6     	6     	7     	8     	3     	2     	8     	5     	2     	4     	7     	8     	
Vardas430      Pavarde430     10    	9     	6     	1     	1     	9     	1     	7     	10    	5     	6     	1     	5     	3     	9     	6     	
Vardas431      Pavarde431     3     	1     	9     	4     	8     	2     	4     	6     	3     	7     	2     	6     	8     	6     	7     	8     	
Vardas432      Pavarde432     3     	9     	3     	2     	6     	5     	2     	4     	10    	2     	6     	10    	5     	9     	9     	9     	
Vardas433      Pavarde433     8     	10    	10    	1     	8     	9     	7     	10    	4     	6     	1     	3     	4     	9     	1     	8     	
Vardas434      Pavarde434     4     	1     	6     	3     	7     	9     	1     	1     	6     	9     	1     	5     	2     	8     	7     	8     	
Vardas435      Pavarde435     3     	9     	9     	9     	8     	8     	8     	3     	8     	4     	3     	6     	1     	8     	3     	5     	
Vardas436      Pavarde436     7     	7     	10    	3     	10    	3     	2     	7     	4     	8     	1     	2     	3     	8     	8     	10    	
Vardas437      Pavarde437     2     	2     	10    	10    	10    	9     	10    	3     	5     	9     	9     	4     	1     	7     	1     	2     	
Vardas438      Pavarde438     9     	7     	8     	2     	2     	2     	7     	1     	7     	7     	2     	2     	5     	1     	9     	1     	
Vardas439      Pavarde439     7     	5     	9     	3     	3     	9     	1     	3     	3     	5     	4     	2     	7     	8     	3     	1     	
Vardas440      Pavarde440     3     	6     	6     	9     	10    	7     	2     	3     	4     	10    	4     	4     	7     	3     	9     	4     	
Vardas441      Pavarde441     7     	7     	9     	4     	2     	10    	3     	10    	3     	10    	5     	6     	10    	9     	1     	10    	
Vardas442      Pavarde442     2     	9     	5     	6     	4     	2     	6     	3     	3     	6     	5     	6     	6     	10    	9     	8     	
Vardas443      Pavarde443     7     	9     	10    	5     	6     	3     	7     	1     	10    	7     	4     	7     	5     	2     	2     	1     	
Vardas444      Pavarde444     8     	9     	7     	8     	9     	6     	2     	9     	1     	9     	5     	7     	8     	2     	5     	1     	
Vardas445      Pavarde445     4     	10    	6     	9     	3     	1     	7     	3     	3     	8     	4     	8     	8     	5     	3     	7     	
Vardas446      Pavarde446     8     	9     	9     	8     	9     	5     	3     	3     	7     	8     	2     	3     	8     	9     	6     	1     	
Vardas447      Pavarde447     7     	7     	6     	7     	8     	8     	4     	1     	2     	2     	6     	4     	2     	3     	6     	6     	
